Custo (f1),Equilibrio (f2),Robustez % (f3),Estabilidade (f4),Score AHP,Metodo
951.0,2.0,1.3157894736842157,1.601607177701826,0.7120849528125421,Pw
901.0,10.0,2.255639097744366,1.6032044015304712,0.7080436448910734,Pe
930.0,2.0,0.37593984962406546,1.5964676859146685,0.6983666341863031,Pw
1046.0,1.0,1.3157894736842157,1.5926436446594796,0.6674573856209152,Pe
909.0,3.0,0.37593984962406546,1.6032044015304712,0.6546441677668905,Pw
966.0,0.0,0.37593984962406546,1.6012010547919282,0.6448984998637748,Pw
921.0,5.0,0.37593984962406546,1.6012010547919282,0.6165132057461278,Pe
1004.0,2.0,0.37593984962406546,1.5946469913980224,0.6066805045044248,Pe
903.0,7.0,0.37593984962406546,1.6012010547919282,0.6051590880990689,Pe
896.0,16.0,2.255639097744366,1.6032044015304712,0.6033668475054524,Pe
935.0,5.0,0.37593984962406546,1.6012010547919282,0.5963376501905722,Pe
1105.0,0.0,1.3157894736842157,1.595891064701235,0.5744029615337999,Pe
902.0,8.0,0.37593984962406546,1.6032044015304712,0.5714966514270211,Pe
980.0,2.0,0.37593984962406546,1.6032044015304712,0.5709723377015309,Pe
900.0,12.0,0.37593984962406546,1.6032044015304712,0.4997906383551258,Pe
1074.0,1.0,0.37593984962406546,1.599380360275282,0.4855675335805893,Pe
895.0,14.0,0.37593984962406546,1.6032044015304712,0.4697020762636225,Pe
888.0,17.0,0.37593984962406546,1.6032044015304712,0.423848677570812,Pw
1158.0,0.0,0.37593984962406546,1.599380360275282,0.38316125907078535,Pe
1128.0,0.0,0.37593984962406546,1.6074345656955578,0.36023333333333335,Pe
