run,alt,f1,f2,pen_cap,w1,w2,solucao
1,1,966.0,0.0,0.0,0.6,0.4,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3"
1,2,923.0,3.0,0.0,0.7,0.30000000000000004,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,1,3,4,0,0,1,4,4,2,4,0,2,1"
1,3,935.0,2.0,0.0,0.8,0.19999999999999996,"0,1,1,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,2,1,0,3,4,4,2,4,0,2,1"
1,4,909.0,6.0,0.0,0.9,0.09999999999999998,"0,1,0,3,2,2,0,4,3,0,1,2,2,3,3,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,3,4,1,0,1,4,4,2,4,0,2,3"
1,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3"
2,1,1048.0,0.0,0.0,0.1,0.9,"0,2,0,3,2,1,3,4,2,0,1,3,2,3,4,0,4,4,4,0,1,3,0,1,2,2,4,1,3,3,4,0,4,3,2,4,1,0,1,3,3,0,1,4,4,2,2,0,2,1"
2,2,1010.0,1.0,0.0,0.5,0.5,"0,1,4,3,2,2,1,2,3,3,1,3,4,3,4,0,0,4,1,2,1,4,0,1,3,2,4,2,0,3,3,0,0,3,2,4,0,0,1,3,2,0,1,4,4,2,4,0,2,4"
2,3,954.0,2.0,0.0,0.7,0.30000000000000004,"0,1,4,3,2,2,0,4,3,3,1,2,2,3,4,0,0,4,4,2,1,4,3,1,0,3,4,2,3,3,3,0,4,3,0,4,1,0,1,1,2,0,1,4,4,2,2,4,2,3"
2,4,921.0,3.0,0.0,0.8,0.19999999999999996,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,3,0,1,0,1,4,2,2,4,0,2,3"
2,5,911.0,7.0,0.0,0.9,0.09999999999999998,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,0,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,1,4,4,0,1,4,4,2,4,0,2,3"
2,6,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3"
3,1,1053.0,0.0,0.0,0.3,0.7,"0,1,4,3,2,3,3,4,3,0,1,4,2,0,3,0,2,4,4,2,1,4,0,3,0,3,4,2,2,3,4,0,4,3,1,4,1,0,0,1,3,0,1,3,4,2,2,0,2,3"
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3"
3,3,930.0,2.0,0.0,0.7,0.30000000000000004,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3"
3,4,903.0,7.0,0.0,0.9,0.09999999999999998,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3"
3,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3"
4,1,1020.0,0.0,0.0,0.4,0.6,"0,1,4,3,2,2,4,4,3,2,1,3,2,3,3,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,4,1,0,4,0,1,4,1,3,0,1,0,0,2,2,0,2,3"
4,2,951.0,2.0,0.0,0.7,0.30000000000000004,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3"
4,3,916.0,4.0,0.0,0.9,0.09999999999999998,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,0,4,3,0,1,4,2,2,4,0,2,3"
4,4,891.0,18.0,0.0,1.0,0.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,2,4,1,1,1,1,4,0,1,4,2,2,4,0,2,3"
5,1,960.0,2.0,0.0,0.6,0.4,"0,1,0,3,2,1,3,4,3,0,1,3,2,3,4,0,0,1,4,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,0,2,3,0,1,4,4,2,4,0,2,4"
5,2,967.0,0.0,0.0,0.7,0.30000000000000004,"0,2,0,3,2,2,3,4,3,0,1,3,2,4,4,0,4,4,0,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,1,1,3,4,2,0,1,4,4,2,2,0,3,1"
5,3,909.0,3.0,0.0,0.9,0.09999999999999998,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3"
5,4,891.0,18.0,0.0,1.0,0.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,2,4,1,1,1,1,4,0,1,4,2,2,4,0,2,3"
