run,alt,f1,f2,pen_cap,w1,w2,solucao,f3_robustez,f4_estabilidade
1,1,966.0,0.0,0.0,0.6,0.4,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3",0.09469251845308785,1.6094379124341005
1,2,923.0,3.0,0.0,0.7,0.3,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,1,3,4,0,0,1,4,4,2,4,0,2,1",0.08767584410796461,1.609378215198632
1,3,935.0,2.0,0.0,0.8,0.1999999999999999,"0,1,1,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,2,1,0,3,4,4,2,4,0,2,1",0.08451925832216604,1.6093960910334784
1,4,909.0,6.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,2,2,3,3,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,3,4,1,0,1,4,4,2,4,0,2,3",0.06488421201007535,1.60927722440709
1,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.02831521949929273,1.607855108958982
2,1,1048.0,0.0,0.0,0.1,0.9,"0,2,0,3,2,1,3,4,2,0,1,3,2,3,4,0,4,4,4,0,1,3,0,1,2,2,4,1,3,3,4,0,4,3,2,4,1,0,1,3,3,0,1,4,4,2,2,0,2,1",0.10323315507145496,1.6094379124341005
2,2,1010.0,1.0,0.0,0.5,0.5,"0,1,4,3,2,2,1,2,3,3,1,3,4,3,4,0,0,4,1,2,1,4,0,1,3,2,4,2,0,3,3,0,0,3,2,4,0,0,1,3,2,0,1,4,4,2,4,0,2,4",0.08976288302189925,1.6094273457155066
2,3,954.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,2,0,4,3,3,1,2,2,3,4,0,0,4,4,2,1,4,3,1,0,3,4,2,3,3,3,0,4,3,0,4,1,0,1,1,2,0,1,4,4,2,2,4,2,3",0.08610153680317871,1.609402974376355
2,4,921.0,3.0,0.0,0.8,0.1999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,3,0,1,0,1,4,2,2,4,0,2,3",0.07802328676241829,1.609386311112646
2,5,911.0,7.0,0.0,0.9,0.0999999999999999,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,0,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,1,4,4,0,1,4,4,2,4,0,2,3",0.07256435122064403,1.609053629876909
2,6,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.02831521949929273,1.607855108958982
3,1,1053.0,0.0,0.0,0.3,0.7,"0,1,4,3,2,3,3,4,3,0,1,4,2,0,3,0,2,4,4,2,1,4,0,3,0,3,4,2,2,3,4,0,4,3,1,4,1,0,0,1,3,0,1,3,4,2,2,0,2,3",0.09469251845308785,1.6094379124341005
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",0.08980463072823114,1.6094273457155066
3,3,930.0,2.0,0.0,0.7,0.3,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",0.0911464191623077,1.6094097516857568
3,4,903.0,7.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,1.6090792244367
3,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.02831521949929273,1.607855108958982
4,1,1020.0,0.0,0.0,0.4,0.6,"0,1,4,3,2,2,4,4,3,2,1,3,2,3,3,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,4,1,0,4,0,1,4,1,3,0,1,0,0,2,2,0,2,3",0.09469251845308785,1.6094379124341005
4,2,951.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",0.10327490277778686,1.6094197715702871
4,3,916.0,4.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,0,4,3,0,1,4,2,2,4,0,2,3",0.0731274278613348,1.6093595193778119
4,4,891.0,18.0,0.0,1.0,0.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,2,4,1,1,1,1,4,0,1,4,2,2,4,0,2,3",0.0203939640928046,1.6073592473831402
5,1,960.0,2.0,0.0,0.6,0.4,"0,1,0,3,2,1,3,4,3,0,1,3,2,3,4,0,0,1,4,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,0,2,3,0,1,4,4,2,4,0,2,4",0.08641552607172324,1.609402974376355
5,2,967.0,0.0,0.0,0.7,0.3,"0,2,0,3,2,2,3,4,3,0,1,3,2,4,4,0,4,4,0,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,1,1,3,4,2,0,1,4,4,2,2,0,3,1",0.09469251845308785,1.6094379124341005
5,3,909.0,3.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",0.07979633640780837,1.609396497203797
5,4,891.0,18.0,0.0,1.0,0.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,2,4,1,1,1,1,4,0,1,4,2,2,4,0,2,3",0.0203939640928046,1.6073592473831402
