Custo Total,Equilibrio,Robustez (Norm 0-100),Estabilidade (Norm 0-100),Score_Global,origem
930.0,2.0,83.8199908470547,1.7791689736818013,0.7549465702096202,Pw
951.0,2.0,100.0,1.1461223138897185,0.7518084209643172,Pw
966.0,0.0,88.55066623905907,0.0,0.7463546819294713,Pw
909.0,3.0,68.67840772118832,2.6165743855429544,0.7414762029858418,Pw
921.0,5.0,66.65498610400266,11.947592691405106,0.6947375603790441,Pe
980.0,2.0,90.45206681121077,1.5791172676408456,0.69408165079343,Pe
935.0,5.0,68.02629973581658,10.244778361248857,0.6748572301135959,Pe
903.0,7.0,52.62210808921415,22.661562413718514,0.6722082342471006,Pe
902.0,8.0,46.30022403161329,26.57945503438207,0.6488635979534846,Pe
1004.0,2.0,72.88945244248343,1.756433407777203,0.6294324760653431,Pe
1046.0,1.0,97.84410106815187,0.45583583504874736,0.628994456401993,Pe
901.0,10.0,43.1240685510928,31.91663577079528,0.6140195739638618,Pe
1105.0,0.0,99.94430645314122,0.0,0.5656828732141044,Pe
1074.0,1.0,81.97428382176182,0.6675951095637908,0.5615410678766413,Pe
900.0,12.0,23.099735444606075,40.31033298784193,0.5538429592710425,Pe
895.0,14.0,18.997554026751757,56.432376443652466,0.5362705192139683,Pe
896.0,16.0,17.879068125955,85.55037966877961,0.5309853946813541,Pe
1128.0,0.0,88.55066623905907,0.0,0.5128946819294712,Pe
888.0,17.0,0.0,100.0,0.5105999999999999,Pw
1158.0,0.0,88.55066623905907,0.0,0.46966134859613784,Pe
