run,alt,f1,f2,pen_cap,epsilon,solucao,metodo,f3_robustez,f4_estabilidade,w1,w2,cluster,Score
3,3,930.0,2.0,0.0,,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",Pw,9.11464191623077,1.6094097516857568,0.7,0.3,10,0.7549402187254688
4,2,951.0,2.0,0.0,,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",Pw,10.327490277778686,1.6094197715702871,0.7,0.3,17,0.7518062789586961
5,3,909.0,3.0,0.0,,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",Pw,7.979633640780836,1.609396497203797,0.9,0.0999999999999999,16,0.7414635490810597
3,2,958.0,1.0,0.0,,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",Pw,8.980463072823113,1.6094273457155066,0.6,0.4,8,0.7288066594469798
2,3,921.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",Pe,7.827958597217741,1.609248805521788,,,0,0.6947235970762697
3,6,903.0,7.0,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",Pe,6.77605850574345,1.6090792244367,,,6,0.6721873215573602
5,3,985.0,3.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,4,2,3,3,0,0,4,1,2,1,4,0,3,4,2,4,2,3,3,3,3,4,1,0,4,1,0,1,2,0,0,3,4,4,2,4,0,2,1",Pe,9.160083456368762,1.6093742851361115,,,5,0.6608076709973377
1,7,902.0,8.0,0.0,13.22222222222222,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",Pe,6.302172079062328,1.6090172118961488,,,14,0.6488405404138273
3,4,960.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",Pe,8.27038348214607,1.6092889223859868,,,18,0.6456231105626331
2,2,1004.0,2.0,0.0,3.7777777777777777,"0,1,0,3,2,0,3,4,3,3,0,2,2,3,3,0,3,4,4,2,1,4,3,1,0,2,4,2,3,3,3,2,4,3,0,4,1,4,0,1,2,0,1,4,4,2,4,0,2,1",Pe,8.295292219360691,1.609410111545084,,,12,0.6294391516735358
5,2,1046.0,1.0,0.0,1.8888888888888888,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",Pe,10.165884776666907,1.6094306974486625,,,1,0.6290114711898684
3,7,901.0,10.0,0.0,13.22222222222222,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",Pe,6.064088470199258,1.6089327348139795,,,3,0.6139924544147907
4,1,1105.0,0.0,0.0,0.0,"0,1,3,3,2,2,0,4,2,0,1,4,2,4,4,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,3,4,3,0,4,0,1,3,2,0,4,0,4,4,2,4,1,3,1",Pe,10.323315507145496,1.6094379124341005,,,19,0.5657126966996207
1,2,1074.0,1.0,0.0,1.8888888888888888,"0,1,4,3,2,2,0,4,3,0,1,3,2,2,3,0,0,4,4,2,1,3,0,3,4,2,1,4,3,3,3,2,0,3,1,4,1,0,3,0,3,4,1,4,0,2,4,0,2,1",Pe,8.976288302189925,1.6094273457155066,,,7,0.5615626848742459
2,7,900.0,12.0,0.0,17.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",Pe,4.563070802673949,1.6087998790827371,,,9,0.5538115639389316
4,7,895.0,14.0,0.0,15.11111111111111,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",Pe,4.255572582840665,1.6085446988186585,,,11,0.5362353190517184
5,7,896.0,16.0,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",Pe,4.171731233965479,1.608083818051726,,,15,0.5309487734418089
1,1,1128.0,0.0,0.0,0.0,"0,1,1,3,2,2,3,0,0,0,1,4,2,3,3,0,1,4,0,2,1,4,3,3,0,4,4,2,3,3,3,2,4,3,2,4,0,1,1,0,1,3,1,4,4,2,2,0,2,4",Pe,9.469251845308785,1.6094379124341005,,,4,0.5129283182092603
2,6,888.0,17.0,0.0,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",Pw,2.831521949929273,1.607855108958982,1.0,0.0,2,0.5105606112706849
3,1,1158.0,0.0,0.0,0.0,"4,1,0,3,1,1,3,4,2,0,1,3,2,4,4,0,4,4,2,2,1,4,0,1,0,1,2,2,3,3,3,2,0,1,0,3,0,0,3,4,0,0,3,4,4,2,0,1,4,3",Pe,9.469251845308785,1.6094379124341005,,,13,0.46970039823120596
